"date","prcp","max","min","mean"
"2022-01-20",0,0.258307,0,0.205522674698795
"2022-01-21",0,0.2606411,0,0.193535752941176
"2022-01-22",0,0.2757661,0,0.208212630952381
"2022-01-23",0.2,4.105,0,0.27571825
"2022-01-24",0,0.4019699,0,0.242388580246914
"2022-01-25",0,0.3863499,0,0.246546876829268
"2022-01-26",0,0.278302,0,0.208131501176471
"2022-01-27",0,0.319277,0,0.244115701176471
"2022-01-28",0,0.2846601,0,0.207438943023256
"2022-01-29",0.1,0.6526079,0,0.244440556790123
"2022-01-30",0.2,4.105,0,0.432145504761905
"2022-01-31",0,0.298141,0,0.213575974285714
"2022-02-01",0.3,0.6496341,0,0.261994205
"2022-02-02",0.2,0.56371,0,0.322682112643678
"2022-02-03",0,0.354512,0,0.244558354651163
"2022-02-04",0,0.3572981,0,0.22412312875
"2022-02-05",0.5,0.729028,0,0.360338714942529
"2022-02-06",0.2,0.64272,0,0.447635096296296
"2022-02-07",0,0.39482,0,0.325811452808989
"2022-02-08",0,0.340827,0,0.241753201190476
"2022-02-09",0,0.3482499,0,0.275006156470588
"2022-02-10",0.1,0.3258991,0,0.272213886419753
"2022-02-11",0.1,0.4336181,0,0.25708568045977
"2022-02-12",0.3,0.9283819,0,0.383116707954545
"2022-02-13",0,0.4311111,0,0.359528288505747
"2022-02-14",0,0.3465891,0,0.259261179268293
"2022-02-15",0,0.659184,0,0.2981261825
"2022-02-16",0,0.5915689,0,0.314110852873563
"2022-02-17",0,0.32724,0,0.303597464705882
"2022-02-18",0,0.3415651,0,0.25790187816092
"2022-02-19",0,1.042932,0,0.274384485555556
"2022-02-20",0,1.19385,0,0.351537603448276
"2022-02-21",0,0.402746,0,0.306872325842697
"2022-02-22",0,0.4336369,0,0.248211251685393
"2022-02-23",0,0.3110261,0,0.240329138043478
"2022-02-24",0,0.269448,0,0.217838697727273
"2022-02-25",0.4,0.5059741,0,0.238490136781609
"2022-02-26",2.3,4.105,0,0.330721922619048
"2022-02-27",1.2,0.2763009,0,0.207020704494382
"2022-02-28",0,0.268328,0.2233009,0.249384670833333
"2022-03-01",1.6,0.3177299,0,0.233969037078652
"2022-03-02",0,0.2624309,0,0.223928983695652
"2022-03-03",0.4,0.3412941,0,0.221403954878049
"2022-03-04",0,0.264626,0,0.199884562790698
"2022-03-05",0,0.2583489,0,0.194530232941176
"2022-03-06",0,0.292799,0,0.194003586363636
"2022-03-07",0,0.2687709,0,0.193216704705882
"2022-03-08",0,0.2947581,0,0.226199135227273
"2022-03-09",0,0.2651141,0,0.18710283258427
"2022-03-10",0,0.2640431,0,0.174719331111111
"2022-03-11",0.7,0.2683661,0,0.21657341627907
"2022-03-12",13.5,1.024303,0,0.473885324705882
"2022-03-13",2.8,0.5059509,0,0.29121931097561
"2022-03-14",4,0.8206799,0.2917271,0.437222895833333
"2022-03-15",3.8,1.111787,0.6650941,0.85064084375
"2022-03-16",0,0.661886,0.506711,0.572144538541667
"2022-03-17",0,0.5060439,0.419956,0.468659002083333
"2022-03-18",0.5,0.4254661,0.388175,0.408962894791667
"2022-03-19",6.3,0.6755719,0.387265,0.43957755
"2022-03-20",3.3,0.570364,0.4032049,0.449126432291667
"2022-03-21",0,0.4213719,0.3574891,0.403778485416667
"2022-03-22",0,0.3958061,0.3478031,0.376479405208333
"2022-03-23",0,0.3544641,0.3173189,0.339560613541667
"2022-03-24",0,0.338017,0.288538,0.316440890625
"2022-03-25",1.1,0.377063,0.2770391,0.303977075
"2022-03-26",0.1,0.3928909,0.330395,0.372163291666667
"2022-03-27",0.1,0.428627,0.3763821,0.399256695652174
"2022-03-28",0,0.411906,0,0.358582946315789
"2022-03-29",0,0.3901181,0.3188281,0.361979270212766
"2022-03-30",0,0.342135,0,0.269230357333333
"2022-03-31",0,0.3393791,0,0.297233712195122
"2022-04-01",0,0.317569,0,0.255521602272727
"2022-04-02",0,0.319407,0,0.245240270114943
"2022-04-03",0,0.353369,0,0.261215434831461
"2022-04-04",0,0.3114271,0,0.277212424096386
"2022-04-05",0,0.2854931,0,0.235986773863636
"2022-04-06",0,0.2856221,0,0.235288881609195
"2022-04-07",0,0.2835,0,0.227657222222222
"2022-04-08",0,0.2634361,0,0.212173327272727
"2022-04-09",0,0.269604,0,0.233842361904762
"2022-04-10",0,0.3189449,0,0.220467357954545
"2022-04-11",0,0.2685111,0,0.232901437647059
"2022-04-12",0,0.2633591,0,0.182732627586207
"2022-04-13",0,0.2648261,0,0.207643534065934
"2022-04-14",0,0.2679861,0,0.237708165882353
"2022-04-15",0,0.2656341,0,0.212647359770115
"2022-04-16",0,0.2631099,0,0.194112704651163
"2022-04-17",0,0.269542,0,0.198119290588235
"2022-04-18",0,0.2618911,0,0.217540003409091
"2022-04-19",0,0.2636139,0,0.206701739772727
"2022-04-20",0,0.2701809,0,0.201480479761905
"2022-04-21",0,0.262821,0,0.219254647727273
"2022-04-22",0,0.265218,0,0.199653514942529
"2022-04-23",0,0.265847,0,0.203371646666667
"2022-04-24",0,0.2657881,0,0.217538725287356
"2022-04-25",0,0.261529,0,0.204256498876404
"2022-04-26",0,0.2618389,0,0.189765358823529
"2022-04-27",0,0.274327,0,0.177559638095238
"2022-04-28",0,0.2628601,0,0.205354117857143
"2022-04-29",0.1,0.2646,0,0.21079193908046
